DevID,B,C,nthvalue,1,2,3,4
 [01],[00],[00],182,[12],[44],[b0],[43]
 [03],[00],[00],186,[eb],[44],[57],[39]
 [01],[00],[00],183,[12],[44],[b0],[44]
 [03],[00],[00],187,[eb],[44],[57],[39]
 [02],[00],[00],180,[61],[03],[c0],[ce]
 [03],[00],[00],188,[eb],[44],[57],[39]
 [01],[00],[00],184,[12],[44],[b0],[44]
 [01],[00],[00],185,[12],[44],[b1],[44]
 [02],[00],[00],181,[61],[03],[c0],[ce]
 [03],[00],[00],189,[eb],[44],[57],[39]
 [01],[00],[00],186,[12],[44],[b1],[44]
 [02],[00],[00],182,[61],[03],[c1],[ce]
 [03],[00],[00],190,[eb],[44],[57],[39]
 [03],[00],[00],191,[eb],[44],[57],[39]
 [01],[00],[00],187,[12],[44],[b1],[44]
 [03],[00],[00],192,[eb],[44],[57],[39]
 [01],[00],[00],188,[12],[45],[b1],[44]
 [02],[00],[00],184,[61],[03],[c1],[ce]
 [01],[00],[00],189,[12],[45],[b1],[44]
 [02],[00],[00],185,[61],[03],[c1],[cd]
 [03],[00],[00],193,[eb],[44],[57],[39]
 [01],[00],[00],190,[12],[45],[b1],[43]
 [02],[00],[00],186,[60],[03],[c0],[ce]
 [03],[00],[00],194,[eb],[43],[57],[39]
 [02],[00],[00],187,[60],[03],[c0],[ce]
 [03],[00],[00],195,[eb],[43],[57],[39]
 [01],[00],[00],191,[12],[45],[b0],[43]
 [03],[00],[00],196,[eb],[43],[57],[39]
 [01],[00],[00],192,[12],[44],[b0],[44]
 [02],[00],[00],188,[60],[03],[c0],[ce]
 [02],[00],[00],189,[60],[03],[c0],[ce]
 [03],[00],[00],197,[eb],[43],[57],[39]
 [02],[00],[00],190,[60],[03],[c0],[ce]
 [03],[00],[00],198,[eb],[44],[57],[39]
 [01],[FF],,193,[00],[00],[00],[00]
 [01],[00],[00],194,[12],[44],[b0],[43]
 [03],[00],[00],199,[eb],[44],[57],[39]
 [01],[00],[00],195,[12],[44],[b0],[43]
 [02],[00],[00],191,[60],[03],[bf],[ce]
 [03],[00],[00],200,[eb],[44],[57],[39]
 [01],[00],[00],196,[12],[44],[b0],[43]
 [02],[00],[00],192,[60],[04],[bf],[ce]
 [01],[00],[00],197,[12],[44],[b0],[44]
 [02],[00],[00],193,[60],[04],[bf],[ce]
 [03],[00],[00],201,[eb],[44],[57],[39]
 [01],[00],[00],198,[12],[44],[b1],[44]
 [02],[00],[00],194,[60],[04],[bf],[ce]
 [03],[00],[00],202,[eb],[44],[58],[39]
 [03],[00],[00],203,[eb],[44],[58],[39]
 [01],[00],[00],199,[12],[44],[b1],[44]
 [02],[00],[00],195,[60],[04],[bf],[ce]
 [01],[00],[00],200,[12],[44],[b0],[44]
 [03],[00],[00],205,[eb],[43],[58],[39]
 [01],[00],[00],201,[12],[44],[b0],[43]
 [02],[00],[00],197,[60],[03],[bf],[ce]
 [01],[00],[00],202,[12],[44],[b0],[43]
 [03],[00],[00],206,[eb],[43],[58],[39]
 [02],[00],[00],198,[60],[03],[bf],[ce]
 [03],[00],[00],207,[eb],[43],[58],[39]
 [01],[00],[00],203,[12],[45],[b0],[43]
 [02],[00],[00],199,[60],[03],[c0],[ce]
 [03],[00],[00],208,[eb],[43],[58],[39]
 [01],[00],[00],204,[12],[45],[b0],[43]
 [02],[00],[00],200,[60],[03],[c0],[ce]
 [03],[00],[00],209,[eb],[43],[58],[39]
 [01],[00],[00],205,[12],[45],[b0],[43]
 [01],[00],[00],206,[12],[45],[b0],[43]
 [03],[00],[00],210,[eb],[43],[58],[39]
 [02],[00],[00],202,[60],[03],[c0],[ce]
 [03],[00],[00],211,[eb],[43],[58],[39]
 [01],[00],[00],207,[12],[45],[b0],[43]
 [02],[00],[00],203,[60],[02],[c0],[ce]
 [03],[00],[00],212,[eb],[43],[58],[39]
 [01],[00],[00],208,[12],[44],[b0],[43]
 [02],[00],[00],204,[60],[02],[c0],[ce]
 [03],[00],[00],213,[eb],[43],[58],[39]
 [01],[00],[00],209,[12],[44],[b0],[43]
 [01],[00],[00],210,[12],[44],[b0],[43]
 [03],[00],[00],214,[eb],[43],[58],[39]
 [02],[00],[00],206,[61],[02],[c0],[ce]
 [03],[00],[00],215,[eb],[43],[58],[39]
 [01],[00],[00],211,[12],[44],[b0],[43]
 [02],[00],[00],207,[61],[02],[c0],[ce]
 [03],[00],[00],216,[eb],[43],[57],[39]
 [01],[00],[00],212,[12],[44],[b0],[43]
 [02],[00],[00],208,[60],[02],[c0],[ce]
 [03],[00],[00],217,[eb],[43],[57],[39]
 [01],[00],[00],213,[12],[44],[b0],[43]
 [02],[00],[00],209,[60],[03],[c0],[ce]
 [03],[00],[00],218,[eb],[43],[57],[39]
 [01],[00],[00],214,[12],[45],[b0],[43]
 [02],[00],[00],210,[61],[03],[c0],[ce]
 [03],[00],[00],219,[eb],[43],[57],[39]
 [02],[00],[00],211,[60],[03],[c0],[ce]
 [03],[00],[00],220,[eb],[43],[58],[39]
 [01],[FF],,215,[00],[00],[00],[00]
 [01],[00],[00],216,[12],[45],[b0],[43]
 [03],[00],[00],221,[eb],[43],[58],[39]
 [01],[00],[00],217,[12],[45],[b0],[43]
 [03],[00],[00],222,[eb],[43],[58],[38]
 [02],[00],[00],213,[61],[03],[c0],[ce]
 [01],[00],[00],218,[12],[45],[b0],[43]
 [02],[00],[00],214,[61],[04],[c0],[cf]
